,Sentence,Polarity_Classification
7445,우왕ㅋ 꽤나 예술적이네요ㅋ,Positiva
7446,"현대 뉴 파워 페이스 리프트 신형 후속 스파이 샷 디자인 현대 트럭 은 마이티 , 엑시언트 , 포터 , 메 가 트럭 현대차 입니 다 .",Neutra
7447,잡다하게 섞어 놓으니 개밥이 되었네,Negativa
7448,내마음에 사람을차별해보는 관점이 있지않나하고 생각하고 아름답게본영화!!!,Positiva
7449,그 문제 중 하나는 데이트와 섹스,Neutra
7450,ㅋㅋ,Positiva
7451,반전으로 가득 찬 이 액션으로 가득 찬 스릴러가 독자들을 끝까지 긴장하게 만들 것이므로 상(밀짚 남자 참조),Neutra
7452,모닝 도 튼튼할 까 요 ...?? ㅠㅠ,Neutra
7453,작가 쪽팔리겠다 주말드라마가 30%도 못넘기곸ㅋㅋㅋㅋㅋㅋㅋㅋ 아무리 막장이래도 막장도 선이있지,Negativa
7454,재미두없구 와닿는것두없구... 그냥 지루함과 불쾌함만 있을뿐...,Negativa
7455,석스신이 적었던 영화,Negativa
7456,WINSTON'S WAR은 처칠의 전시 리더십에 관한 소설 시리즈의 첫 번째 작품입니다.,Neutra
7457,유럽 ​​전역의 법 집행 기관과 비밀 경찰 작전에 대한 통찰력이 하나로 통합되었습니다.,Neutra
7458,기아 모하비 +_+,Neutra
7459,"3D 블루레이로 출시되었길래 사서 봤습니다. 케이스 겉면만 보고 이집트? 신화? 그런 내용인가 싶어서 흥미 있어 보이길래 봤습니다. 대화면에 3D로 보니 뭐 눈은 호강했는데, 결론은 사막잡신 영화더군요",Negativa
7460,개잼 ㅋ ㅋ ㅋ ㅋ 신하균 그와중에 잘생김 ㅋㅋ ㅋ,Positiva
7461,"제 가 이 말 을 한 이유 는 , 현대차 그룹 도 이제 n 기준 으로 고성능 버전 의 스포츠카 를 현재 진행형 으로 열심히 개발하고 있죠 .. 현대차 는 고성능 버전 의",Neutra
7462,1점주기에도아까울정도로 저질영화. 주인공성격도 맘에 안들어 태평하고 무신경해.,Negativa
7463,진짜재미없다 허구 개쩜 신기전쏠때 3000명다죽고 2명엎드리니까 2명만살고 아 싸울때도 시간끌어주네 보지마세요 재미없음 시간아까워요,Negativa
7464,마음에 듭니다.,Positiva
7465,그냥 난 재미있고 좋았는데.. ㅋ,Positiva
7466,"보고나서 오래 생각하면 이해 할 수 있는, 매니아를 위한 영화.",Positiva
7467,"네이버댓글보고 봤다가 낚였다.. 이런 저질 에로물을...숨겨진 명작이니 , 감동이 밀려온다니....하 어이가 없네",Negativa
7468,엑센트 는 경쟁 차가 없어 서 가격 많이 올릴 거 같아 요 가격 올리 면,Neutra
7469,개인 취향 이지 요 . 제눈 엔 대형 망둥어,Neutra
7470,분노한다! 안젤리카 휴스턴이 그려내는 여성상이 고작 이따위라니!,Negativa
7471,최고지뭐,Positiva
7472,어릴적동네비디오가게에서빌려보고아직가끔생각나는영화.혹시나검색해보니있네요^^,Positiva
7473,새끼 고양이는 실제로 자신의 집을 원합니다,Neutra
7474,이스타나 운전 석 앞쪽 으로 엔진 이 있 습니다 좌석 밑 에 엔진 이 있는 구조 가 아닙니 다,Neutra
7475,우왕굳ㅋㅋ 제이슨이 불쌍해보기는 처음ㅋㅋㅋ,Positiva
7476,중국판 씨받이 뭐냐 이게 ㅡㅡ 그리고 판빙빙 아깝다 ㅡㅡ;,Negativa
7477,"일곱개의 ​​대죄, 일주일의 7일, 일곱 가지 다른 가치를 사용하여 우리는 모든 것이 시작된 집으로 데려갑니다.",Neutra
7478,BMW 도 벨트 타입 사용 합 니 당,Neutra
7479,귀엽고 예쁘고 제미있다.,Positiva
7480,"20번을 봐도 질리지 않는 영화, 존말코비치의 러시아인 연기는 최고!",Positiva
7481,너무 아름다운 영화네요.. 가슴이~ 가슴이~ 따뜻해져요~~ 100만점,Positiva
7482,정말 멋진 영화!!!,Positiva
7483,1점 더 줘서 아까웠지만 찍은 스텝들과 많은 사람을위해 1점 더 선사한다.,Negativa
7484,따뜻한 영화네요. 실제 제 상황이랑 비슷해서 눈물이..이 영화의 행복한 결말이 정말 저한텐 위로가되고 힘이되네요. 감사합니다.,Positiva
7485,영국 만 그런 게 아니 라 한국 에서도 모닝 과 티볼리 의 가격 이 겹 치는 부분 도 있 습니다 .,Neutra
7486,4편부터 막장으로 가더니..역시 5편도 딱 그 수준.,Negativa
7487,"쏘나타 타다 가 싼타페 로 바꿨 는데 , 파썬 정말 비추 합 니다 . 싼타페 에는 안 넣었 습니다 . 문제 는 찌그덕 거리 는 고무 잡 소리 와 왠지 불안한 그 마음 ... 돌이 날아와 도 철판 은 그냥 튕기 지만 유리 는 뚫고 들어옵 니다 . 비 흡연 자",Neutra
7488,진짜 역대급 노잼ㅡㅡ진짜 이런식으로 프로만들지마세요..,Negativa
7489,혹시하고 기대하고 조금 봤는데 ..역시나..더군요..,Negativa
7490,위에 평가한 사람들 직원인가? 좀 솔직하게 평 좀 합시다!! 지루함;,Negativa
7491,ㅋㅋ 조금은 유치했지만 왕조현 주윤발 이것만으로도 충분히 볼만했다.,Positiva
7492,감독 나랑 싸우자는거지?,Negativa
7493,색감도 예쁘고 내용도 예쁘고,Positiva
7494,BMW 의 미니 가 있다 면 현기 엔 동 희 오토 가 있다 .,Neutra
7495,또 다른 장면은 Arthur가 Nithlings라는 생물에게 쫓기고 있을 때 친구에 의해 구조되었으며 Arthur가 어떻게 신속하게 밧줄을 타고 생물에게 타일을 던졌는지를 잘 설명합니다.,Neutra
7496,이건 영화가 아니라 실사 '애니메이션' 인지 아는가? 진짜다 이거.,Positiva
7497,"어느 월요일 아침, Aurther는 새 옷을 입고 체육관에 있으며, 천식 발작을 앓고 있습니다.",Neutra
7498,1이랑 2 안봐도 3보면 쳐우는 OO쩌는영화,Positiva
7499,넵 SM3 이 메 간 베이스 이니 ㅎㅎ,Neutra
7500,왕가위씨의영화 잘 즐겨서 보고 있습니다 정말 재밌고 무섭고 슬픈 영화 ㅠㅠ,Positiva
7501,하지만 안젤라도 마찬가지야,Neutra
7502,"그때 Noon이라는 사람이 도서관에 와서 Arthur를 찾았고 Arthur가 달려가 소금을 뿌리기 시작했지만 일부 개는 그의 가슴, 다리 및 팔에 그를 잡았습니다.",Neutra
7503,영화라기보다 숨은 그림찾기 ? 퍼즐 맞추기 ?,Negativa
7504,"솔찍히 역대 가장 재미없어요~~개지순, 김산호, 대머리독수리 사장 다시나와주세요",Negativa
7505,쌍둥이: 안젤라와 디아블라,Neutra
7506,어릴 때 보나 지금 보나 여전히 재밌다괴수에 대한 환상을 갖게 해줬던 영화이거 미국 애니메이션도 있었는데 ㅎㅎ,Positiva
7507,르노 마케팅 임,Neutra
7508,난 이럴 때 희열을 느끼곤 하지..,Negativa
7509,허탈,Negativa
7510,한국 전래동화 에서나 나올듯한 스토리.,Negativa
7511,등장인물은 싸이코들이고 이입은 안되고 결정적으로 코미디가 안웃겨,Negativa
7512,중간에 꺼버릴 수 밖에 없었던 영화.,Negativa
7513,SM5 도 간혹 문제 있다 카 는데 지인 들 타는 거 보면 모든 차는 뽑기 운 . 그래도 끝물 이라서 더 적 을 것 같아 요,Neutra
7514,흉기 알바 들 졸라 많구 나 !!,Neutra
7515,단순 킬링타임용. 제시카 알바 보는재미와 손이 미치는 황당함도,Negativa
7516,네이버 너무 하지 마셔 요 거기 들어가면 보통사람 들 도 현기 가 개 상놈 으로 보이 게 되 요 ㅋ 차게 에서 전혀 다른 기사 떠 도,Neutra
7517,저수지의 개폼 버젼. 참고가 아닌 표절.,Negativa
7518,이런 영화는 정말 돈 낭비~,Negativa
7519,아... 마마도 뭔재미인지원;꽃보다할배가 훨씬재밋음이태곤싸가지_,Negativa
7520,앞 모습 은 포르쉐 카이엔 이미테이션 뒷모습 은 살찐 i40 으로 보이는 군요 ..,Neutra
7521,"은근히 괜찮은 영화. 비포 선라이즈, 비포 선셋 같은것은 좋아하면서 이건 왜 평점이 6점도 안되나?",Positiva
7522,반전 살짝 예상했는데 그래도 재미있네요...강추^^,Positiva
7523,그다지별로,Negativa
7524,"조카가 재밌게 잘봤다고, 두번 보면 안되냐고 그래요 ㅎㅎ 저도 재밌게 봤어요 ㅎㅎ 여진구 더빙이 어색하지 않고 좋았어욯ㅎ",Positiva
7525,미친 시청률.,Negativa
7526,버려라 안주고십지만 점수를줘야지 말을할수있어서 1점준다,Negativa
7527,전영화를 보고 평점때립니다,Negativa
7528,나랑 닯은 더 플라이.... 주인공... 캬캬캬~,Positiva
7529,아만다 진짜 여신 보는내내 아만다 분량돔늘려주지 생각함 몸이 떨리는 영화였음,Positiva
7530,크리스마스에 치유받고 싶은 사람은 보시길 바랍니다.,Positiva
7531,대박ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Positiva
7532,그냥 최고였다. 이건.,Positiva
7533,콜린 윌슨이 누군지 아는 사람만 보기를.,Positiva
7534,저 도 아방이 리뷰 나왔 다 길래 한참 찾았 는데 블라인드 ㄷㄷ 그래서 유튜브 에서 봤 습니다,Neutra
7535,이게 칠광구인가 팔광구인가 그것보다 높다는게 말이안됨칠광구인지 팔광구인지 그게 훨난듯,Negativa
7536,뒤죽박죽 우당탕탕 자연스럽지도 않는 난장판인 영화 ㅡㅡ,Negativa
7537,진짜 사랑하는 은동아는 재미있음. 초반부터 지루한 면도 없고 약간 운명론적인 이야기라 더 흥미가 가는 것 같아요! 앞으로 계속 보겠습니다!,Positiva
7538,이보다 더 철학적일 수 있을까?,Positiva
7539,누구보다 따뜻한 남자가 쿨한 인생을 선택할 수 밖에 없었던 이유.,Positiva
7540,Make it go away...,Positiva
7541,맛집들을 찾아다닌 나에게..아 분명히 맛없는데 나만 맛이없나???라고 혼자 이상한 생각하고 있는데 정말 맛이 없다는 것을 증명하는 작품,Positiva
7542,예매해놓고 차막혀서 17분 도착했더니 겁나 단호박안된다네 ㅋㅋㅋㅋ만칠천원 하늘나라로,Negativa
7543,"피셔가 잭의 삶에 재진입하는 것은 엄청난 변화의 촉매제이며, 지난 몇 년 동안 웨일런의 집 밖에서 어슬렁거리던 혼돈이 마침내 내부로 들어왔습니다.",Neutra
7544,Arthur는 천식을 앓고 있습니다. 이는 저도 어렸을 때부터 관련이 있었습니다.,Neutra
7545,아뇨끝이잇 죠 그랜져 까진 가능한 데 아슬란 을 추천 하면 몇 백 할부 넣고 제네시스 는 갈수 잇지 만 에쿠스 사는 건 오바겟 죠 ? 근데 진심 아슬란 살바 에 제네시스 갑 니다,Neutra
7546,보면서완전힐링된다ㅠㅠㅠㅠ이런드라마자주자주나왓으면!!,Positiva
7547,연쇄 살인범을 프로파일 링하는 직업으로 깊은 상처를 입은 심리학자 Tony Hill,Neutra
7548,지들 재주넘기 잘한다고 깝치는 거밖에 안됨,Negativa
7549,이것이 사과여 사과자나ㅋㅋㅋ,Positiva
7550,액션신이정말대단했다여자도스토리도 중간에머리묶은여자가진짜짜증나긴했지만꽤볼만하다,Positiva
7551,억지 감동 영화..,Negativa
7552,드라마봤는데 재미없다.,Negativa
7553,ㅋㅋㅋㅋ재밌다 이런 영화들 많이 보고 싶다,Positiva
7554,어려운 상황을 처리하면서 Jordan과 Hill은 서로에게 필요한 조언과 정서적 지원을 제공합니다.,Neutra
7555,완전 개잼 졸잼 핵꿀잼이다 ㅋㅋㅋ,Positiva
7556,내가 읽은 언덕 책,Neutra
7557,아오 돈아까워 ㅅㅂ 왜본거야 시간 아깝고 돈아깝고 존나 재미없음,Negativa
7558,알았다. 그냥 이 영화 보지말고 쓰르라미 울적에 보면 된다는 거지?,Negativa
7559,이 책은 미스터 먼데이(Mister Monday)라는 수수께끼의 남자로부터 열쇠와 지도책을 받는 아더(Arthur)라는 소년의 이야기입니다.,Neutra
7560,망항드라마 버려,Negativa
7561,너무 허접해서 개실망ㅡ.ㅡ^,Negativa
7562,걸작을 초반에 망작을 후반에,Negativa
7563,도서: My Darling My Hamburger<br>저자: Paul Zindel<br>페이지 수: 122<br>출판사 및 출판일: 1969 Harper and Row 출판사<br>ISBN: 0-553-27324-8<br>Price (가능한 경우) 그리고 그것이 단행본인지 양장본인지: 양장본 당신에게 당신을 결코 믿지 않거나 결코 믿지 않을 부모가 있다고 상상해 보십시오.,Neutra
7564,ㅋㅋ 9.1이 보인다.. 형제들이여 힘내라...,Positiva
7565,가족의의미를 다시 깨닳게해주는 영화 가족이란 피를 나누는게 아니라 서로의 빈자리를 메꾸어 외로움을 없애주는존재이다 역무원 최씨를 통해 가족을 일깨워주는 아주 좋은 영화이다,Positiva
7566,실력좋은 감독이 만들었으면 퀼리티쩌는 영화가되었을텐데.입술분장 완전 병맛~,Negativa
7567,쿵푸는 만병통치약. 하늘아래 불가능이란 없다.,Negativa
7568,영화보는 내내 현실과 게임을 알수 없는 혼란스러움과 그게 주는 긴장감이 이 영화의 재미다. 마지막 주인공이 뛰어내리기전까지는 집중해서 봤다반전이 없다는 멍청이는 머냐.,Positiva
7569,현 까면 현기 를 까야 지 왜 산 사람 한테 그러 심 ? 님 성격 이 이상하네 요 차는 자기 기준 에 맞 는걸 사는 건데 님 이 쉐보레 나 삼성 꺼 돟 아 한 다고 다 들 그걸 사야 하나요 ?,Neutra
7570,"이 열쇠를 통해 그는 자신의 학교를 찾고 있는 개 얼굴의 페쳐와 싸울 수 있으며, 페쳐가 가지고 있는 것으로 보이는 슬리피 플레이그의 치료법을 찾기 위해 혼자 볼 수 있는 것으로 보이는 신비한 집에 들어갈 수 있습니다. 시작했다",Neutra
7571,여름에 맞추어 쏟아져 나오는 케케묵은 쉣덩어리들. 작작좀해라.,Negativa
7572,"현대 i40 , 기아 리 갈 등등",Neutra
7573,"작품전체에 깔려있는 반미,파시즘 메세지... 보는내내 불쾌했다",Negativa
7574,고등학생만하시지말고 직장인워크샵1박2일편도있었으면좋겠네요~~^^,Positiva
7575,제발 개인사좀 꺼내지말고 실력으로 하길-.-,Negativa
7576,영원한 신화 브루스 리!,Positiva
7577,지금봐도 여전히 감동받고 눈물나는영화,Positiva
7578,아 재밌다는 OOO들이 신기한겅미,Negativa
7579,광고같아서 싫다는 사람은 뭐임ㅋㅋㅋㅋ광고영환줄 모르고 봤음?,Positiva
7580,처음과끝 팽팽한 조율이 가득 찬 화면과 스토리가 진부하지 않는 영화,Positiva
7581,1950년대에 출판된 이 책은 원주민에 대한 작가의 고정 관념이 어느 정도 드러나 있습니다.,Neutra
7582,다행 이네 요 요즘 현대 기아차 들 말 이 많아 서 걱정했 어요 .,Neutra
7583,이거잼나요ㅎ,Positiva
7584,파워레인저 엔진포스하고 와일드 스피릿 나오는거 말고는 볼게 없구나,Negativa
7585,트랙스 디젤 은 성공 적 일 것 같지 만 그렇다고 해서,Neutra
7586,불상앞에서 섹1스짓? 양키놈들 쳐맞아야지 정신 차리나,Negativa
7587,전체적으로 많이 어설퍼. 이런영화를 왜 만들었을까?,Negativa
7588,이런 막장 스토리를 봤나.. 노출도 높아져서 리얼해진 것 빼곤 TV판 보다 나은게 없네,Negativa
7589,"조재현씨의 shiva에 대한 대사에 거부감이 든다. 신의 이름에 욕설같은 뉘앙스를 준건 인도에 대한 모욕은 아닐까... 인도에서 영화를 찍으면서 말이다. 글쎄, 인도의 풍광이 아무리 좋아도 러닝타임은 길기만하다.",Negativa
7590,아무리 실화를 바탕한 영화라지만 이건 좀 아니네요..실화라는 것에 점수줍니다,Negativa
