,Sentence,Polarity_Classification
11827,이게 어딜봐서 독립영화입니까??? 독립영화도 이 보다 연기톤이나 전달하고자 하는 메시지나 연기력이 떨어지진않겠네요,Negativa
11828,"평점에 낚였네요.일단,지 루 해 요.",Negativa
11829,이정현 겁나 이쁘다... 이정현 웃을때 진짜 뻑감. 남자들이 진짜 좋아하는 러블리 스타일이야. 완존.. 이정현 때문에 10점주고감!,Positiva
11830,꿀잼이거왜인기없었는지모르겠음,Positiva
11831,정말 감명깊게 본 영화 마음이 짠해지는 부모의 마음,Positiva
11832,사랑얘기나 찌질대는 드라마와는 차원이 다른 드라마,Positiva
11833,2011년 지금까지 나온 파라노말 시리즈 중 최악이 아닌가 싶다. 감독의 능력이 의심됨,Negativa
11834,너무 사랑스런 커플~~솔직하면서두 유쾌하구 잼있다^^,Positiva
11835,최고!최고!최고!최고!최고!최고!최고!최고!최고!최고!최고!최고!최고!,Negativa
11836,난 칼들고 제작사 쳐들어갈려고 했는데...,Negativa
11837,"복잡한 격투씬의 연출, 편집 능력이 돋보임",Positiva
11838,정말 아름답고 잘 만든 영화네요. 너무 재미있게 봤습니다.,Positiva
11839,1점도아깝네요시즌3재밌게보면서 시즌1을 이제서 찾아보고시즌1도재밌게보고 이제 시즌2보는데 진짜 짜증이나네요 7회 보고있는데 더이상보고싶지가않네요이상민씨가우승이라는데 그것도 참 안봐도비디오일듯싶네요아무리 게임이라지만 이건뭐 사기 절도게임인듯,Negativa
11840,여자 계속 과음 지르는거 듣기싫네,Negativa
11841,최고의 영화.... 강추합니다,Negativa
11842,생각보다 정말 재밌게 봤따,Positiva
11843,증권 시장을 소재로 이렇게나 재밌게 만드는게 전성기 시절 스톤,Positiva
11844,심심할때 보면 재밋지,Negativa
11845,그레고이 펙의 친구 의리가 있는듯사진도 정보도 자기가 다 가지고 있는데그걸 퍼트리지않고 친구를 이해하고 가슴속에 묻어놓았다.우린 그의모습도 다시 볼 필요가 있다.그리고 오드리햅번 존예 말이 안나온다.그냥 순수 그자체였다.,Positiva
11846,셰익스피어는 셰익스피어고 이영화는 이영화.,Negativa
11847,귀여운 로맨스,Positiva
11848,마음이 따뜻해지는 영화,Positiva
11849,생각보다 많은 것을 담고 있다. 또한번 영화에서 배우고 갑니당,Positiva
11850,"재미보다는 감동을 주는 작품이다, 소통이라는 단어가 얼마나 중요한지 알게되었다. 당시의 노예문제의 심각성을 보여주려고 의도한바 있지만, 나는 게인적으로 이영화가 백인을위한 위선적인 작품으로 보여지기도 했다. 왠지 아메리칸 히어로 같은 느낌이랄까",Positiva
11851,이게 아바타보다 아래라니 말도안된다. 나도 당시 광고봤을땐 아류작인줄 알았더니만 지금와서보니 마케팅업체가 엉망인 듯 싶다. 비슷한영화 아바타는 전개가 억지스러운면이 있으나 이 영화는 짜임새까지도 치밀하다. 적극추천,Positiva
11852,ㅋㅋ 마이크 엄청 잘생겼어 그냥 이영화 생긴것 처럼 해서 살아랔ㅋ,Positiva
11853,감동을주는 정말 훈훈한이야기 ^^,Positiva
11854,'엄마'라는 단어의 뉘앙스를 충분이 이용한 졸작..,Negativa
11855,이렇게 오래된 좋은 영화를 당신은 보아야한다.,Positiva
11856,미친 것들... 지원을 받고 싶어? 그럼 인민들의 적... 김씨독재왕조를 추종하는 짓 부터 하지마... 그럼 검토는 해 볼게... 우리 민족? 니들 민족은 같은 민족끼리 총질과 칼질을 하는 모양이네...,Negativa
11857,재미있다고!!!!! 블루레이 짱짱 화려한 배경 짱짱,Positiva
11858,어떻게 본시리즈가 평점이 8점대냐구!,Positiva
11859,엄청나게 재미있다.,Positiva
11860,정말정말많이 울엇습니다......여훈이 너무깊게남아 계속생각날듯하네요ㅡㅡ,Positiva
11861,이건뭐... 영화관에서 돈내고 안봐서 다행이다......,Negativa
11862,0점없는것이 아쉽네스토리는 하나도없이 지루하기만하고무조건 깨부수는것 정말 귀아프고 눈아프고보는 내내 지겨워 죽는줄,Negativa
11863,어설픈 간첩 아빠와 간첩 잡으려는 똘똘한 딸램 하지만 내용은 썰렁...그 자체,Negativa
11864,벅스라이프에 개발린영화 불쌍해,Negativa
11865,"이질감있는 문화, 나와 이격되어있는 특이한 부류의 여성이야기. 몰입 어렵다.",Negativa
11866,여친이랑 사귀기전에 디비디방에서 본 영화,Negativa
11867,볼 거 없을때 봐도 재미 없는 영화!,Negativa
11868,영화라고 말하기도 민망한 작품. 가능하다면 0점을 주고 싶다.,Negativa
11869,"동화같은 영화, 순수한 사랑, 내 기억속에 깊이 남아있어 6년만에 찾아 본다",Positiva
11870,1시간10분은이야기 30분은 괴물과의싸움 지루했다,Negativa
11871,많이 실망이다. 아들 굴러 떨어진 이후 전개는 그냥 헛웃음만 나온다.,Negativa
11872,어색한 똥폼만 잡다가 끝,Negativa
11873,역시 김석훈은 영화에서는 차인표와 같이 힘들구나,Negativa
11874,울면서 본 영화다.,Positiva
11875,중반부에 존트라볼타 혼자 디스코추는건 정말 세기의 명장면이다...,Positiva
11876,역대 드라마 스토리 중 가장 아련사할것같은 테닥로즈...ㅜ 둠스데이는 레전드다.,Positiva
11877,3r개가 적당한데 다른 사람들 전체 별점 보고 속아서 결제할까봐...40분 넘어서부터 억지 시간 늘이기...1시간25분에 멈춰놓고 이거 쓰고 있는데 지루해서 참다 참다 멈춘것. 이제 10초씩 넘겨서 나머지 봐야 될듯 ㅠㅠ,Negativa
11878,"101, 102.. 103은 못나올것 같다.",Negativa
11879,꺅~ 가필드 짱 귀요미!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Positiva
11880,재밌어요 공감되고 좋았어요,Positiva
11881,말이 필요없다 최고,Positiva
11882,옛날에 비디오로봐서 다행이지 극장가서봣으면 어쩔뻔햇어,Negativa
11883,코미디언 으로 퇴색되기 시작하는 쳐키의 타락.,Negativa
11884,분장도 좋고 배우들 비주얼도 좋긴 한데 끝까지 진득이 보자니 시간이 아깝게 느껴지는 영화!,Negativa
11885,초반부 10분의 내용을 한시간 반동안 질질끌다가 어처구니엎는결말로 끝. 한마디로 쓰레기영화...이렇게 대단한 소재로 이런 쓰레기를 만들어내는 감독에게 박수를!같은상황 반복. 내용전개 없음.,Negativa
11886,객기도 유별나게 부린다.,Negativa
11887,기대하고 볼만한 작품은 못되고 그냥 별 생각없이 보기에는 무난한 영화,Negativa
11888,ㅅㅂ 이게 영화냐? 시가아깝다 인생에 기집에 쳐 우는거에 ㅅㅂ 시간다간다 황감독 앞으로 니영화는 안본다,Negativa
11889,말없이 계속되지만 한순간도 지루하지 않았던 영화.,Positiva
11890,뻔하고 지루하고 재미없음...캐스팅도 별로,Negativa
11891,시간아까운 개똥영화 ..안보는게 나아요.. 개망작임....촬영기법은 난잡하고 스토리는 진부하고 볼거리라곤 고어적인 부분 끝...,Negativa
11892,죄악,Negativa
11893,"겨우~겨우~봤다.박혜미,신이가아까웠다.내시간이아까웠다.내돈이아까웠다.",Negativa
11894,액션영환데...일케 허접한 액션은 첨본다...더 웃긴건 밑에 평론가 반응...이 세기들 돈받고 쓰나??,Negativa
11895,아 정말 신성한 영화로다,Positiva
11896,어릴적 내가 본 최초의 쓰레기 영화..,Negativa
11897,미루다 미루다가 이제 봤네요 볼만합니다.,Positiva
11898,시걸... 이제 좀 쉬세요 쫌... 이딴거 그만 찍어...,Negativa
11899,평생 이렇게 잼없는 애니는 첨인듯,Negativa
11900,한없이 짜증나고 지루하다,Negativa
11901,솔직히 재밌게 봤는디 지금현재. 4회. 또재방한디 3분4분마다선전하믄 OOO아녀,Negativa
11902,잘난 거 아는데... 문화국수주의는 장예모 하나로 넘친다우,Negativa
11903,의외로 너무나 귀여우셨던 어머니! 보는 내내 따뜻함 나누어 받았습니다.,Positiva
11904,나를 처음 울게 만든 영화~ 옥소리누님 짱~~,Positiva
11905,새벽에 봤는데 잠 안올 정도로 재밌었네요,Positiva
11906,한국극장애니의 고질적인 문제점 쩌는 성우들도 많은데 쓸데없이 연예인 을 써서 몰입감을 잡쳐 버린다.,Negativa
11907,..,Negativa
11908,이거 볼때 극장에 친구랑 나밖에없었음.,Negativa
11909,이야..진짜긴장감쩐다..너무집중해서봣다..잔인하고 정말강추영화다,Positiva
11910,최고다 스토리가 탄탄하고 몰입의 경지다최고의 명배우이기에 가능한것같다,Positiva
11911,"삶과 죽음 사이에서 인간은 항상 죽음을 외면하고 삶을 쫓습니다. 하지만 그것은 그저 환상일지도 모르겠습니다. 누구나 죽으니까요. 영화 내내 부인을 외면하고 환상같은 삶,젊음을 쫓던 오상무는 결국 죽음을 받아들이고 환상을 거부합니다...",Positiva
11912,참 .... 할말이 없다,Negativa
11913,"전 나름 괜찮게 봤어요.. 시간이 지난 후에도 생각나는 영화, 책도 재밌음",Positiva
11914,만든것들이나 수입한 것들이나도저히 봐줄수가 없네똥밟았다시간낭비 제대로 했네,Negativa
11915,평균제작비 5천만달러(600억원)의 헐리우드에서 백만달러(11억원)짜리 영화가 뭐다냐,Negativa
11916,"먹고,마시고,대화하고 음악듣고,상상하고 기타 등등...여전히 홍상수 감독님 스타일 분위기도 나고...감독님 전작 '맛있는 인생'과 웬지 비슷한 느낌인데 덜 매력적인 영상과 전개...",Negativa
11917,대한민국 최고의 시트콤,Positiva
11918,깊은 슬픔..... 비어있는 컷들의 잔혹함이 더 깊숙히 건드린다. 사람이 참 슬프다.,Positiva
11919,말이필요없다 진짜로ㅜ,Positiva
11920,"그저그런 소재에 , 어찌보면 밋밋할정도의 기승전결을 배우의 연기력과 제목이 캐리했다.",Positiva
11921,하.. 간만에 속았다..,Negativa
11922,내생에최고의영화 벌써사십중반인나에게아직도십대때설레임과가슴벅찬환희를안겨준영화 그당시8~9번을봤는데도또보구픈영화 ost도짱,Positiva
11923,아...일점도 아깝따... 영화보면서 내내 욕함... 마동석아저씨가 불쌍타...,Negativa
11924,왜 사람들이 이걸 재미없다고 했는지 상상이 안가네요이야기전개도 재밌고 마녀랑 인간이 사랑에 빠진다는 주제도 참신한데 말입니다가족이랑 재밌게 봤어요,Positiva
11925,정말 따뜻하다,Positiva
11926,리버 피닉스가 더욱 아름답게 그리는 청춘 서사시,Positiva
11927,good!,Negativa
11928,"환희 팬이라서 욕은 안하려고 했는데 하나부터 열까지 다 허접스럽기 짝이 없고 주인공들 연기는 걷는것마저, 일상적인 대화마저 너무 어색해서 죽여버리고 싶었다. 세상에...환희씨 ...진짜 너무했어요 이번 영화는...",Negativa
11929,가슴 먹먹하다......ㅡㅡ,Positiva
11930,"그녀의 재능은 천재 투우사, 그러나 그녀의 운명은 독사과...",Positiva
11931,좋구나,Positiva
11932,정말로 가족영화라도 어린이도 관람하기 힘들다,Negativa
11933,재미는 있네요,Positiva
11934,시나리오가 뭐 이래!!! 짜증만 가득!!!,Negativa
11935,어떻게 이렇게 만들수 있는지.. B급영화를 넘어선 D. E급 영화,Negativa
11936,"10점이 36%?? 알바하는거 광고하시나 오늘 이 영화 다운받아봤는데, 보다가 걍 껏다. 좋은 배우가지고 쓰레기를 만드시네",Negativa
11937,엄마랑같이봤는데 정말좋네요~엄마가 어린시절보신걸 영화관에서 같이보니까 색달라요ㅎ인물하나하나 캐릭터행동들이 귀여워서 미소짓게만드는 영화였습니다ㅎ,Positiva
11938,"이요원 .,.,.,.,.,",Negativa
11939,니가 아빠냐?,Negativa
11940,개꿀잼 티비에서 좀 얼굴보여주시면 좋겟습니다,Positiva
11941,출연 배우가 아까울 정도의 어딘가 많이 어색하고 부조로운 영화,Negativa
11942,장난치낰ㅋㅋ 드럽게 뻔한스토리전개ㅡㅡ 코난특유의 신기한맛이 점점없어짐.. 이건솔직히 돈주고보기 매우매우매우 아까움..,Negativa
11943,쩌넼 ㅋ,Positiva
11944,최고의 명작인데... 이게 지금 개봉중?,Positiva
11945,나의 오감을 자극한 영화!! 베리굿,Positiva
11946,소년탐정 김전일의 틀에 이토 준지식 호러의 어색한 짬뽕. 유치할 따름.,Negativa
11947,어렸을때 친구랑 봤던 기억이있는데 그때 왜 좋아했는지 모르겠음,Negativa
11948,"내 기억속에 아직도 자리잡고 있는 몇안되는 영화중 하나... 7인의 사무라이, 란 등과 같은 일본영화 수작중의 하나라고 생각된다.",Positiva
11949,세계 챔피언,Positiva
11950,할게없어서 애들가꼬 시간 잡아먹노 아나 존나 재미 더럽게읍네,Negativa
11951,서세원의 젓가락(관객동원 488명) 이후 최악의 블럭버스터. 미치지 않고서야 어떻게 이렇게 이런영화를 만들수 있는건지..감독의 뇌를 해부해보고싶다.,Negativa
11952,정말 유쾌하고 잼있게 본 영화!! 훌륭하당 ~ ^^,Positiva
11953,반전이 그냥 다 예상되는데;;,Negativa
11954,1편보다 더 스릴잇고 멋잇다 진짜 재밋다 ㅋㅋㅋㅋㅋㅋㅋㅋ,Positiva
11955,1점 누구니!!! 답답하다..,Positiva
11956,절대훈남???? 미쳤냐????,Negativa
11957,뛰어난 대사들과 배우들의 자연스러운 연기.,Positiva
11958,국가대표보다 낫다니 무슨 말도 안되는 소릴.. 진짜 애들만 봐라..,Negativa
11959,배트맨+스파이더맨=할람 포 ... 암튼 지루해 지루해 ...ㅡ0ㅡ,Negativa
11960,아놀드 답지 않은 약한 액션,Negativa
11961,만화영화보다 심하다!,Negativa
11962,세상살이 힘들다 만만한게 없다. 이 영화가 이런 세상살이에 다시 또 버틸수 있는 힘을 주었다.,Positiva
11963,내생의최고의멜로영화 보고난두 임수정팬이됫지ㅋ,Positiva
11964,영화도 아닌 것이 개그도 아닌 것이..... 아무리 87년도 영화라지만...,Negativa
11965,최악의 쓰레기 영화. 여자가 낯선 남자와 섹정들은덜 사랑이라 하네 ㅋㅋㅋ 여자들 섹에 한번 미치면 빠져나오질 못하는덴 이유가 있는듯. 기도하다가도 섹 생각하네.,Negativa
11966,평점 10점이면 안될듯 해서,Negativa
11967,"잔인도는 낮으며, 진지한연기가업고 코믹이다.",Negativa
11968,단순 유치한 세르지오 레오네 식 마초 권총잡이.,Negativa
